title,artist,genre,mood,energy,tempo_bpm,danceability,acousticness
Sunny Days,The Bright Sides,pop,happy,0.75,118,0.80,0.15
Gym Hero,Pump Nation,pop,energetic,0.90,128,0.70,0.05
Midnight Drive,Neon Static,rock,intense,0.85,140,0.45,0.10
Quiet Room,Soft Static,lofi,chill,0.20,75,0.35,0.85
Rainy Window,Soft Static,lofi,sad,0.15,68,0.30,0.90
Electric Pulse,Voltage Kids,edm,energetic,0.95,132,0.85,0.02
Heartbreak Hotel,Lonely Strings,country,sad,0.30,90,0.40,0.60
Campfire Nights,Lonely Strings,country,chill,0.35,95,0.45,0.55
Broken Mirror,Static Fury,metal,intense,0.98,160,0.35,0.02
Iron Fist,Static Fury,metal,angry,0.95,170,0.30,0.03
Golden Hour,The Bright Sides,pop,happy,0.65,110,0.75,0.20
Velvet Room,Slow Jazz Society,jazz,chill,0.25,80,0.50,0.70
Blue Note Blues,Slow Jazz Society,jazz,sad,0.30,85,0.40,0.65
Rooftop Summer,Voltage Kids,edm,happy,0.88,126,0.90,0.05
Silent Piano,Echo Hall,classical,sad,0.10,60,0.15,0.95
Morning Light,Echo Hall,classical,chill,0.15,65,0.20,0.90
City Lights,Neon Static,rock,energetic,0.80,135,0.55,0.08
Soulful Nights,Velvet Groove,r&b,chill,0.40,92,0.65,0.35
Late Night Drive,Velvet Groove,r&b,sad,0.35,88,0.55,0.40
Indie Sunrise,Paper Wings,indie,happy,0.55,105,0.60,0.45
Essence,Wizkid,afrobeats,chill,0.45,102,0.75,0.30
Bad To Me,Wizkid,afrobeats,chill,0.50,100,0.70,0.35
Longtime,Wizkid ft. Skepta,afrobeats,energetic,0.75,105,0.85,0.15
Fall,Davido,afrobeats,happy,0.68,106,0.80,0.20
Aje,Davido,afrobeats,energetic,0.78,110,0.88,0.10
If,Davido,afrobeats,happy,0.55,102,0.72,0.30
CTMF,Davido,afrobeats,energetic,0.72,108,0.82,0.15
Free Mind,Tems,afrobeats,chill,0.40,90,0.55,0.45
Crazy Tings,Tems,afrobeats,happy,0.60,105,0.75,0.20
Last Last,Burna Boy,afrobeats,moody,0.55,95,0.65,0.30
City Boys,Burna Boy,afrobeats,energetic,0.80,110,0.85,0.10
Just Friends (Sunny),Musiq Soulchild,r&b,chill,0.30,85,0.45,0.55
Love,Musiq Soulchild,r&b,chill,0.35,88,0.50,0.50
Bad Habit,Steve Lacy,r&b,chill,0.55,90,0.65,0.35
Dark Red,Steve Lacy,r&b,happy,0.62,98,0.70,0.25
